100800.00s | Vermelho | Pos: (-3.10e+11, 2.16e+09) | Vel: (2.59e+02, 2.00e+04) | Acel: (2.41e-03, 3.89e-04)
100800.00s | Verde | Pos: (1.00e+11, 2.19e+09) | Vel: (-6.86e+02, 2.05e+04) | Acel: (-6.39e-03, 4.59e-03)
100800.00s | Azul | Pos: (-2.67e+09, 1.00e+11) | Vel: (-2.45e+04, -8.38e+02) | Acel: (4.76e-03, -7.67e-03)
108000.00s | Vermelho | Pos: (-3.10e+11, 2.31e+09) | Vel: (2.77e+02, 2.00e+04) | Acel: (2.41e-03, 3.89e-04)
108000.00s | Verde | Pos: (1.00e+11, 2.34e+09) | Vel: (-7.32e+02, 2.05e+04) | Acel: (-6.40e-03, 4.58e-03)
108000.00s | Azul | Pos: (-2.85e+09, 9.99e+10) | Vel: (-2.45e+04, -8.93e+02) | Acel: (4.77e-03, -7.65e-03)
115200.00s | Vermelho | Pos: (-3.10e+11, 2.45e+09) | Vel: (2.94e+02, 2.00e+04) | Acel: (2.42e-03, 3.89e-04)
115200.00s | Verde | Pos: (9.99e+10, 2.49e+09) | Vel: (-7.78e+02, 2.06e+04) | Acel: (-6.41e-03, 4.57e-03)
115200.00s | Azul | Pos: (-3.02e+09, 9.99e+10) | Vel: (-2.44e+04, -9.48e+02) | Acel: (4.78e-03, -7.64e-03)
122400.00s | Vermelho | Pos: (-3.10e+11, 2.60e+09) | Vel: (3.11e+02, 2.01e+04) | Acel: (2.42e-03, 3.90e-04)
122400.00s | Verde | Pos: (9.99e+10, 2.63e+09) | Vel: (-8.24e+02, 2.06e+04) | Acel: (-6.41e-03, 4.56e-03)
122400.00s | Azul | Pos: (-3.20e+09, 9.99e+10) | Vel: (-2.44e+04, -1.00e+03) | Acel: (4.78e-03, -7.63e-03)
129600.00s | Vermelho | Pos: (-3.10e+11, 2.74e+09) | Vel: (3.29e+02, 2.01e+04) | Acel: (2.42e-03, 3.90e-04)
129600.00s | Verde | Pos: (9.99e+10, 2.78e+09) | Vel: (-8.70e+02, 2.06e+04) | Acel: (-6.42e-03, 4.56e-03)
129600.00s | Azul | Pos: (-3.37e+09, 9.99e+10) | Vel: (-2.44e+04, -1.06e+03) | Acel: (4.79e-03, -7.61e-03)
136800.00s | Vermelho | Pos: (-3.10e+11, 2.88e+09) | Vel: (3.46e+02, 2.01e+04) | Acel: (2.42e-03, 3.90e-04)
